Fecha (dd/mm/aaaa),Tasa de cambio representativa del mercado (TRM)
33903,712.04
33904,713.55
33905,716.39
33906,715.31
33907,717.37
33908,716.88
33909,716.88
33910,716.88
33911,716.88
33912,718.98
33913,719.21
33914,720.96
33915,722.57
33916,722.57
33917,722.57
33918,720.48
33919,722.37
33920,723.72
33921,722.72
33922,724.07
33923,724.07
33924,724.07
33925,724.07
33926,730.11
33927,724.97
33928,724.9
33929,721.98
33930,721.98
33931,721.98
33932,726.97
33933,720.63
33934,721.47
33935,722.61
33936,725.45
33937,725.45
33938,725.45
33939,729.42
33940,725.75
33941,729.74
33942,738.19
33943,736.29
33944,736.29
33945,736.29
33946,732.11
33947,732.11
33948,732.4
33949,727.21
33950,729.8
33951,729.8
33952,729.8
33953,732.69
33954,736.2
33955,734.98
33956,732.54
33957,735.31
33958,735.31
33959,735.31
33960,736.82
33961,735
33962,735.19
33963,735.19
33964,735.19
33965,735.19
33966,735.19
33967,737.44
33968,737.98
33969,737.98
33970,737.98
33971,737.98
33972,737.98
33973,737.98
33974,737.55
33975,738.65
33976,740.08
33977,742.61
33978,746.63
33979,746.63
33980,746.63
33981,746.63
33982,749.63
33983,748.98
33984,746.71
33985,746.39
33986,746.39
33987,746.39
33988,747.2
33989,748.07
33990,750.06
33991,750
33992,748.56
33993,748.56
33994,748.56
33995,747.25
33996,747.13
33997,746.21
33998,745.14
33999,746.05
34000,746.05
34001,746.05
34002,745.27
34003,745.64
34004,745.73
34005,745.79
34006,746.56
34007,746.56
34008,746.56
34009,745.45
34010,745.49
34011,745.38
34012,748.22
34013,748.88
34014,748.88
34015,748.88
34016,748.18
34017,749.69
34018,750.75
34019,752.47
34020,751.96
34021,751.96
34022,751.96
34023,752.52
34024,753.33
34025,755.07
34026,759.2
34027,758.03
34028,758.03
34029,758.03
34030,757.89
34031,760.71
34032,762.68
34033,762.04
34034,762.2
34035,762.2
34036,762.2
34037,763.38
34038,763.9
34039,764.74
34040,765.19
34041,764.79
34042,764.79
34043,764.79
34044,764.29
34045,765.06
34046,766.12
34047,766.42
34048,766.84
34049,766.84
34050,766.84
34051,766.84
34052,766.63
34053,766.91
34054,767.99
34055,767.4
34056,767.4
34057,767.4
34058,766.79
34059,766.41
34060,766.44
34061,767.98
34062,768.46
34063,768.46
34064,768.46
34065,768.31
34066,768.52
34067,768.6
34068,768.6
34069,768.6
34070,768.6
34071,768.6
34072,769.34
34073,769.8
34074,771.56
34075,772.71
34076,773.22
34077,773.22
34078,773.22
34079,773.7
34080,773.97
34081,774.34
34082,775.05
34083,775.32
34084,775.32
34085,775.32
34086,775.2
34087,774.52
34088,773.78
34089,774.94
34090,773.82
34091,773.82
34092,773.82
34093,775.53
34094,776.99
34095,777.88
34096,778.17
34097,777.17
34098,777.17
34099,777.17
34100,777.75
34101,779.41
34102,780.49
34103,780.8
34104,780.79
34105,780.79
34106,780.79
34107,781.42
34108,781.8
34109,781.84
34110,781.94
34111,782
34112,782
34113,782
34114,782
34115,783.15
34116,782.85
34117,780.78
34118,779.56
34119,779.56
34120,779.56
34121,779
34122,779.01
34123,777.82
34124,778.12
34125,780.6
34126,780.6
34127,780.6
34128,782.29
34129,784.62
34130,784.95
34131,785.79
34132,784.8
34133,784.8
34134,784.8
34135,784.8
34136,785.9
34137,786.64
34138,787.49
34139,786.77
34140,786.77
34141,786.77
34142,786.77
34143,787.06
34144,786.42
34145,786.72
34146,786.96
34147,786.96
34148,786.96
34149,786.8
34150,787.12
34151,786.1
34152,787.51
34153,788.65
34154,788.65
34155,788.65
34156,788.65
34157,789.47
34158,790.58
34159,791.73
34160,793.18
34161,793.18
34162,793.18
34163,794.67
34164,795.66
34165,797
34166,797.06
34167,797.31
34168,797.31
34169,797.31
34170,797.41
34171,797.41
34172,797.63
34173,798.17
34174,798.83
34175,798.83
34176,798.83
34177,799.17
34178,799.96
34179,800.42
34180,801.04
34181,801.35
34182,801.35
34183,801.35
34184,801.15
34185,801.86
34186,801.82
34187,801.86
34188,801.78
34189,801.78
34190,801.78
34191,802.3
34192,803.22
34193,804.48
34194,804.93
34195,804.51
34196,804.51
34197,804.51
34198,804.51
34199,804.76
34200,805.62
34201,806.15
34202,806.72
34203,806.72
34204,806.72
34205,807.04
34206,807.57
34207,807.77
34208,807.55
34209,807.53
34210,807.53
34211,807.53
34212,806.86
34213,806.83
34214,808.04
34215,807.96
34216,807.68
34217,807.68
34218,807.68
34219,807.62
34220,808.24
34221,809.33
34222,810.25
34223,810.03
34224,810.03
34225,810.03
34226,810.09
34227,810.81
34228,811.75
34229,811.93
34230,811.18
34231,811.18
34232,811.18
34233,810.88
34234,809.75
34235,810.04
34236,810.55
34237,809.93
34238,809.93
34239,809.93
34240,809.55
34241,809.69
34242,810.84
34243,811.31
34244,812.29
34245,812.29
34246,812.29
34247,812.27
34248,812.75
34249,812.54
34250,811.91
34251,811.28
34252,811.28
34253,811.28
34254,811.19
34255,811.47
34256,811.46
34257,812.41
34258,813.28
34259,813.28
34260,813.28
34261,813.28
34262,813.79
34263,816.41
34264,819.26
34265,819.41
34266,819.41
34267,819.41
34268,819.44
34269,819.55
34270,818.98
34271,818.06
34272,817.03
34273,817.03
34274,817.03
34275,817.03
34276,816.7
34277,817.01
34278,816.79
34279,815.7
34280,815.7
34281,815.7
34282,814.26
34283,813.95
34284,811.07
34285,809.87
34286,809.95
34287,809.95
34288,809.95
34289,809.95
34290,815.18
34291,816.32
34292,816.62
34293,817.06
34294,817.06
34295,817.06
34296,814.48
34297,812.12
34298,811.67
34299,812.04
34300,812.11
34301,812.11
34302,812.11
34303,811.73
34304,812.21
34305,811.78
34306,809.63
34307,806.49
34308,806.49
34309,806.49
34310,803.1
34311,800.6
34312,800.6
34313,798.51
34314,797.53
34315,797.53
34316,797.53
34317,798.2
34318,798.12
34319,799.43
34320,804.89
34321,806.5
34322,806.5
34323,806.5
34324,803.81
34325,802.46
34326,801.4
34327,801.69
34328,801.69
34329,801.69
34330,801.69
34331,809.13
34332,802.33
34333,802.71
34334,804.33
34335,804.33
34336,804.33
34337,804.33
34338,805.91
34339,810.01
34340,814.21
34341,818.83
34342,818.89
34343,818.89
34344,818.89
34345,818.89
34346,818.5
34347,819.81
34348,820.1
34349,815.81
34350,815.81
34351,815.81
34352,816.91
34353,816.15
34354,814.56
34355,815.91
34356,815.65
34357,815.65
34358,815.65
34359,816.69
34360,819.1
34361,821.52
34362,821.72
34363,818.38
34364,818.38
34365,818.38
34366,817
34367,819.27
34368,817.96
34369,817.69
34370,818
34371,818
34372,818
34373,817.64
34374,817.81
34375,817.88
34376,817.88
34377,817.78
34378,817.78
34379,817.78
34380,817.59
34381,816.92
34382,816.1
34383,815.19
34384,814.13
34385,814.13
34386,814.13
34387,816.04
34388,818.33
34389,820.76
34390,819.68
34391,819.7
34392,819.7
34393,819.7
34394,820.12
34395,819.83
34396,819.61
34397,818.7
34398,817.86
34399,817.86
34400,817.86
34401,817.76
34402,818.02
34403,818.37
34404,818.46
34405,818.62
34406,818.62
34407,818.62
34408,818.69
34409,818.49
34410,820.44
34411,820.91
34412,821.34
34413,821.34
34414,821.34
34415,821.34
34416,821.73
34417,821.82
34418,821.7
34419,821.14
34420,821.14
34421,821.14
34422,820.63
34423,820.78
34424,819.51
34425,819.51
34426,819.51
34427,819.51
34428,819.51
34429,820.21
34430,820.93
34431,822.57
34432,825.28
34433,828.92
34434,828.92
34435,828.92
34436,829.32
34437,828.81
34438,827.96
34439,827.44
34440,827.93
34441,827.93
34442,827.93
34443,829.47
34444,831.24
34445,834.3
34446,838.25
34447,836.96
34448,836.96
34449,836.96
34450,835.4
34451,837.31
34452,838.28
34453,837.27
34454,836.86
34455,836.86
34456,836.86
34457,838.04
34458,839.14
34459,841
34460,841.25
34461,841.7
34462,841.7
34463,841.7
34464,841.27
34465,841.33
34466,841.92
34467,843.24
34468,842.23
34469,842.23
34470,842.23
34471,842.23
34472,842.21
34473,842.83
34474,842.64
34475,842.33
34476,842.33
34477,842.33
34478,842.92
34479,843.08
34480,842.22
34481,841.86
34482,840.93
34483,840.93
34484,840.93
34485,841.12
34486,841.93
34487,842
34488,841.44
34489,840.37
34490,840.37
34491,840.37
34492,840.37
34493,839.56
34494,838.03
34495,834.96
34496,833.19
34497,833.19
34498,833.19
34499,833.19
34500,833.16
34501,833.35
34502,831.28
34503,826.61
34504,826.61
34505,826.61
34506,828.94
34507,826.9
34508,824.76
34509,822.87
34510,821
34511,821
34512,821
34513,820.13
34514,818.73
34515,819.64
34516,818.05
34517,817.92
34518,817.92
34519,817.92
34520,817.92
34521,818.45
34522,820.42
34523,820.24
34524,822.34
34525,822.34
34526,822.34
34527,822.14
34528,823.12
34529,822.79
34530,822.28
34531,821.04
34532,821.04
34533,821.04
34534,818.44
34535,817.49
34536,817.49
34537,817.18
34538,816.68
34539,816.68
34540,816.68
34541,816.34
34542,815.75
34543,815.8
34544,815.62
34545,815.62
34546,815.62
34547,815.62
34548,815.89
34549,814.53
34550,812.69
34551,812.57
34552,811.91
34553,811.91
34554,811.91
34555,812.39
34556,813.64
34557,815.4
34558,815.84
34559,814.94
34560,814.94
34561,814.94
34562,814.94
34563,814.4
34564,813.93
34565,813.88
34566,813.76
34567,813.76
34568,813.76
34569,815.2
34570,816.58
34571,816.77
34572,817.4
34573,816.29
34574,816.29
34575,816.29
34576,816.18
34577,816.3
34578,816.08
34579,817.64
34580,818.81
34581,818.81
34582,818.81
34583,817.8
34584,818.21
34585,819.24
34586,820.02
34587,820.26
34588,820.26
34589,820.26
34590,821.62
34591,824.34
34592,827.86
34593,833.1
34594,837.21
34595,837.21
34596,837.21
34597,838.63
34598,841.82
34599,842.7
34600,841.53
34601,839.46
34602,839.46
34603,839.46
34604,840.23
34605,841.51
34606,841.32
34607,842
34608,843
34609,843
34610,843
34611,843.65
34612,844.4
34613,842.54
34614,840.06
34615,836.8
34616,836.8
34617,836.8
34618,835.59
34619,835.38
34620,836.4
34621,836.01
34622,834.83
34623,834.83
34624,834.83
34625,834.83
34626,835.33
34627,836.72
34628,838.32
34629,841.41
34630,841.41
34631,841.41
34632,842.6
34633,843.48
34634,841.32
34635,840.05
34636,838.55
34637,838.55
34638,838.55
34639,837.62
34640,837.79
34641,836.18
34642,833.19
34643,831.25
34644,831.25
34645,831.25
34646,831.25
34647,829.09
34648,826.84
34649,825.17
34650,825.87
34651,825.87
34652,825.87
34653,825.87
34654,826.45
34655,828.74
34656,830.49
34657,828.46
34658,828.46
34659,828.46
34660,829.08
34661,830.74
34662,828.67
34663,828.76
34664,828.42
34665,828.42
34666,828.42
34667,828.66
34668,829.03
34669,829.29
34670,829.56
34671,830
34672,830
34673,830
34674,830.37
34675,830.85
34676,831.1
34677,831.1
34678,831.49
34679,831.49
34680,831.49
34681,831.91
34682,824.68
34683,825
34684,827.6
34685,829.72
34686,829.72
34687,829.72
34688,831.06
34689,830.16
34690,827.95
34691,827.7
34692,826.47
34693,826.47
34694,826.47
34695,827.33
34696,829.95
34697,831.6
34698,831.27
34699,831.27
34700,831.27
34701,831.27
34702,833.18
34703,835.38
34704,838.33
34705,838.87
34706,837.07
34707,837.07
34708,837.07
34709,837.07
34710,840.36
34711,843.69
34712,841.52
34713,843.7
34714,843.7
34715,843.7
34716,846.61
34717,847.61
34718,850.26
34719,852.68
34720,855.54
34721,855.54
34722,855.54
34723,855.49
34724,856.65
34725,857.56
34726,859.3
34727,857.83
34728,857.83
34729,857.83
34730,856.41
34731,857.16
34732,855.76
34733,852.22
34734,848.82
34735,848.82
34736,848.82
34737,848.27
34738,848.43
34739,847.04
34740,845.73
34741,845.37
34742,845.37
34743,845.37
34744,846.2
34745,848.15
34746,848.52
34747,848.9
34748,849.41
34749,849.41
34750,849.41
34751,851.88
34752,853.63
34753,855.32
34754,855.48
34755,854.71
34756,854.71
34757,854.71
34758,856.99
34759,857.85
34760,858.87
34761,861.33
34762,859.65
34763,859.65
34764,859.65
34765,858.95
34766,861.13
34767,862.41
34768,863.06
34769,865.36
34770,865.36
34771,865.36
34772,865.92
34773,866.96
34774,866.4
34775,865.63
34776,863.77
34777,863.77
34778,863.77
34779,863.77
34780,865.89
34781,867.81
34782,868.95
34783,869.22
34784,869.22
34785,869.22
34786,870.14
34787,872.57
34788,876.21
34789,880.23
34790,878.18
34791,878.18
34792,878.18
34793,876
34794,874.3
34795,871.6
34796,868.96
34797,869.15
34798,869.15
34799,869.15
34800,866.78
34801,868.8
34802,866.25
34803,866.25
34804,866.25
34805,866.25
34806,866.25
34807,871.87
34808,874.37
34809,874.35
34810,877.38
34811,876.55
34812,876.55
34813,876.55
34814,878.2
34815,876.32
34816,875.78
34817,876.21
34818,877.9
34819,877.9
34820,877.9
34821,877.9
34822,880.63
34823,882.97
34824,882.24
34825,881.07
34826,881.07
34827,881.07
34828,881.33
34829,878.87
34830,880.25
34831,881.07
34832,879.35
34833,879.35
34834,879.35
34835,877.45
34836,875.17
34837,874.74
34838,875.75
34839,873.52
34840,873.52
34841,873.52
34842,871.11
34843,869.95
34844,870.55
34845,872.96
34846,872.66
34847,872.66
34848,872.66
34849,872.66
34850,876.36
34851,876.62
34852,877.22
34853,875.99
34854,875.99
34855,875.99
34856,874.81
34857,873.06
34858,871.02
34859,871.93
34860,871.94
34861,871.94
34862,871.94
34863,873.74
34864,875.28
34865,873.78
34866,872.54
34867,873.91
34868,873.91
34869,873.91
34870,873.91
34871,875.59
34872,875.32
34873,874.81
34874,873.64
34875,873.64
34876,873.64
34877,873.64
34878,875.95
34879,878.8
34880,881.23
34881,880.49
34882,880.49
34883,880.49
34884,880.49
34885,883.81
34886,887.3
34887,891.28
34888,891.44
34889,891.44
34890,891.44
34891,897.12
34892,897.51
34893,895.84
34894,892.82
34895,893.36
34896,893.36
34897,893.36
34898,891.76
34899,894.03
34900,894.5
34901,894.5
34902,894.98
34903,894.98
34904,894.98
34905,896.68
34906,897.32
34907,897.77
34908,895.56
34909,897.63
34910,897.63
34911,897.63
34912,898.35
34913,900.78
34914,905.53
34915,917.53
34916,916.14
34917,916.14
34918,916.14
34919,916.14
34920,920.1
34921,919.32
34922,917.13
34923,919.13
34924,919.13
34925,919.13
34926,922.21
34927,928.25
34928,944.55
34929,947.22
34930,946.83
34931,946.83
34932,946.83
34933,946.83
34934,949.51
34935,955.12
34936,962.6
34937,970.65
34938,970.65
34939,970.65
34940,972.03
34941,963.93
34942,960.19
34943,949.35
34944,948.23
34945,948.23
34946,948.23
34947,957.54
34948,958.46
34949,953.63
34950,954.64
34951,958.31
34952,958.31
34953,958.31
34954,958.59
34955,959.18
34956,959.15
34957,960.25
34958,960.91
34959,960.91
34960,960.91
34961,962.5
34962,970.08
34963,974.88
34964,974.23
34965,975.9
34966,975.9
34967,975.9
34968,977.35
34969,980.54
34970,981.09
34971,972.8
34972,966.78
34973,966.78
34974,966.78
34975,971.22
34976,976.76
34977,972.75
34978,972.93
34979,979.16
34980,979.16
34981,979.16
34982,982.84
34983,981.45
34984,981.26
34985,984.88
34986,987
34987,987
34988,987
34989,987
34990,990.52
34991,991.22
34992,991.52
34993,988.96
34994,988.96
34995,988.96
34996,991.98
34997,993.68
34998,994.77
34999,995.01
35000,994.99
35001,994.99
35002,994.99
35003,994.5
35004,996.76
35005,996.96
35006,998.18
35007,998.49
35008,998.49
35009,998.49
35010,998.49
35011,999.51
35012,999.73
35013,1000.13
35014,999.77
35015,999.77
35016,999.77
35017,999.77
35018,1001.14
35019,1001.62
35020,1002.25
35021,1002.63
35022,1002.63
35023,1002.63
35024,1003.44
35025,1003.47
35026,1002.49
35027,1001.23
35028,1000.69
35029,1000.69
35030,1000.69
35031,1003.24
35032,1001.73
35033,998.16
35034,998.15
35035,997.87
35036,997.87
35037,997.87
35038,995.93
35039,990.16
35040,983.29
35041,974.04
35042,974.04
35043,974.04
35044,974.04
35045,979.87
35046,986.17
35047,994.57
35048,992.88
35049,988.94
35050,988.94
35051,988.94
35052,986.71
35053,987.22
35054,985.39
35055,984.06
35056,984.96
35057,984.96
35058,984.96
35059,984.96
35060,990.1
35061,986.96
35062,987.65
35063,987.65
35064,987.65
35065,987.65
35066,987.65
35067,994.31
35068,994.5
35069,998.68
35070,997.06
35071,997.06
35072,997.06
35073,997.06
35074,1003.44
35075,1003.86
35076,1002.59
35077,1005.63
35078,1005.63
35079,1005.63
35080,1011.59
35081,1011.72
35082,1010.34
35083,1015.1
35084,1018.99
35085,1018.99
35086,1018.99
35087,1019.17
35088,1024.89
35089,1026.08
35090,1026.78
35091,1026.89
35092,1026.89
35093,1026.89
35094,1027.61
35095,1028.14
35096,1026.3
35097,1024.89
35098,1021.29
35099,1021.29
35100,1021.29
35101,1022.93
35102,1021.3
35103,1022.28
35104,1024.17
35105,1023.07
35106,1023.07
35107,1023.07
35108,1027.54
35109,1028.58
35110,1027.57
35111,1030.67
35112,1029.5
35113,1029.5
35114,1029.5
35115,1033.41
35116,1034.34
35117,1035.43
35118,1035.04
35119,1036.71
35120,1036.71
35121,1036.71
35122,1038.49
35123,1039.06
35124,1039.81
35125,1039.9
35126,1040.7
35127,1040.7
35128,1040.7
35129,1041.28
35130,1041.83
35131,1042.03
35132,1042.61
35133,1042.42
35134,1042.42
35135,1042.42
35136,1043.5
35137,1044.07
35138,1044.99
35139,1045.44
35140,1046.09
35141,1046.09
35142,1046.09
35143,1046.76
35144,1047.24
35145,1047.65
35146,1048.4
35147,1048
35148,1048
35149,1048
35150,1048
35151,1049.08
35152,1049.22
35153,1048.42
35154,1046
35155,1046
35156,1046
35157,1042.2
35158,1045.23
35159,1046.92
35160,1046.92
35161,1046.92
35162,1046.92
35163,1046.92
35164,1050.12
35165,1047.35
35166,1046.55
35167,1047.48
35168,1048.89
35169,1048.89
35170,1048.89
35171,1050.73
35172,1054.41
35173,1054.03
35174,1052.9
35175,1053.59
35176,1053.59
35177,1053.59
35178,1054.43
35179,1055.31
35180,1054.53
35181,1054.29
35182,1054.8
35183,1054.8
35184,1054.8
35185,1058.9
35186,1061.55
35187,1061.55
35188,1062.56
35189,1062.4
35190,1062.4
35191,1062.4
35192,1063.41
35193,1063.53
35194,1061.63
35195,1061.1
35196,1062.08
35197,1062.08
35198,1062.08
35199,1065.78
35200,1066.24
35201,1066.61
35202,1065.88
35203,1066.47
35204,1066.47
35205,1066.47
35206,1066.47
35207,1068.18
35208,1068.91
35209,1069.47
35210,1068.94
35211,1068.94
35212,1068.94
35213,1069.8
35214,1071.19
35215,1072.24
35216,1073.06
35217,1072.59
35218,1072.59
35219,1072.59
35220,1074.7
35221,1074.72
35222,1074.27
35223,1072.95
35224,1073.06
35225,1073.06
35226,1073.06
35227,1073.06
35228,1073.65
35229,1070.8
35230,1072.34
35231,1071.35
35232,1071.35
35233,1071.35
35234,1071.35
35235,1072.74
35236,1070.94
35237,1070.86
35238,1068.2
35239,1068.2
35240,1068.2
35241,1070.25
35242,1069.81
35243,1072.37
35244,1069.73
35245,1069.11
35246,1069.11
35247,1069.11
35248,1069.11
35249,1070.55
35250,1068.12
35251,1068.3
35252,1067.35
35253,1067.35
35254,1067.35
35255,1068.17
35256,1067.97
35257,1065.65
35258,1061.79
35259,1061.99
35260,1061.99
35261,1061.99
35262,1065.58
35263,1064.82
35264,1062.86
35265,1058.92
35266,1061.02
35267,1061.02
35268,1061.02
35269,1063.53
35270,1064.56
35271,1061.46
35272,1061.03
35273,1061.48
35274,1061.48
35275,1061.48
35276,1059.18
35277,1056.74
35278,1057.47
35279,1054.87
35280,1054.1
35281,1054.1
35282,1054.1
35283,1051.61
35284,1049.37
35285,1049.37
35286,1044.9
35287,1040.68
35288,1040.68
35289,1040.68
35290,1035.79
35291,1029.46
35292,1041.76
35293,1051.82
35294,1047.9
35295,1047.9
35296,1047.9
35297,1047.9
35298,1044.54
35299,1037.43
35300,1040.15
35301,1037.1
35302,1037.1
35303,1037.1
35304,1041.64
35305,1044.54
35306,1046.7
35307,1045.02
35308,1042.32
35309,1042.32
35310,1042.32
35311,1044.38
35312,1045.27
35313,1044.09
35314,1043.93
35315,1045.87
35316,1045.87
35317,1045.87
35318,1047.95
35319,1051.64
35320,1047.26
35321,1047.66
35322,1043.89
35323,1043.89
35324,1043.89
35325,1042.8
35326,1038.9
35327,1035.94
35328,1037.1
35329,1037.11
35330,1037.11
35331,1037.11
35332,1038.09
35333,1040.36
35334,1030.25
35335,1027.68
35336,1025.06
35337,1025.06
35338,1025.06
35339,1027.08
35340,1030.54
35341,1019.17
35342,1015.24
35343,1014.99
35344,1014.99
35345,1014.99
35346,1012.56
35347,1010.32
35348,1012.27
35349,1013.12
35350,1015.07
35351,1015.07
35352,1015.07
35353,1015.07
35354,1019.22
35355,1018.5
35356,1015.24
35357,1016.87
35358,1016.87
35359,1016.87
35360,1018.33
35361,1018.04
35362,1017.52
35363,1015.49
35364,1011.69
35365,1011.69
35366,1011.69
35367,1012.43
35368,1007.57
35369,1005.83
35370,1000.14
35371,999.49
35372,999.49
35373,999.49
35374,999.49
35375,1006.36
35376,1003.75
35377,999.59
35378,1001.24
35379,1001.24
35380,1001.24
35381,1001.24
35382,1000.22
35383,997.38
35384,1001.68
35385,999.68
35386,999.68
35387,999.68
35388,995.96
35389,994.02
35390,995.2
35391,994.37
35392,995.34
35393,995.34
35394,995.34
35395,995.05
35396,995.05
35397,995.93
35398,994.94
35399,1002.28
35400,1002.28
35401,1002.28
35402,1000.09
35403,995.73
35404,997.4
35405,997.48
35406,1001.82
35407,1001.82
35408,1001.82
35409,997.99
35410,998.17
35411,998.31
35412,999.47
35413,1002.95
35414,1002.95
35415,1002.95
35416,1001.58
35417,1000.4
35418,1001.18
35419,1001.1
35420,1003.15
35421,1003.15
35422,1003.15
35423,1002.51
35424,1002.51
35425,1002.51
35426,1003.49
35427,1005.4
35428,1005.4
35429,1005.4
35430,1005.33
35431,1005.33
35432,1005.33
35433,1007.33
35434,1016.81
35435,1016.81
35436,1016.81
35437,1016.81
35438,1022
35439,1020.16
35440,1013.68
35441,1011.01
35442,1011.01
35443,1011.01
35444,1015.53
35445,1026.53
35446,1023.47
35447,1018.15
35448,1020.9
35449,1020.9
35450,1020.9
35451,1022.75
35452,1023.67
35453,1031.02
35454,1031.51
35455,1032.62
35456,1032.62
35457,1032.62
35458,1040.07
35459,1057
35460,1057.82
35461,1070.97
35462,1064
35463,1064
35464,1064
35465,1065.98
35466,1076.25
35467,1071.88
35468,1070.08
35469,1066.44
35470,1066.44
35471,1066.44
35472,1074.25
35473,1075.17
35474,1075.51
35475,1073.36
35476,1075
35477,1075
35478,1075
35479,1076.04
35480,1075.11
35481,1074.5
35482,1074.1
35483,1073.42
35484,1073.42
35485,1073.42
35486,1078.23
35487,1084.09
35488,1080.93
35489,1080.51
35490,1077.07
35491,1077.07
35492,1077.07
35493,1075.86
35494,1067.77
35495,1063.44
35496,1057.58
35497,1054.05
35498,1054.05
35499,1054.05
35500,1056.92
35501,1062.73
35502,1063.33
35503,1060.35
35504,1060.86
35505,1060.86
35506,1060.86
35507,1059.87
35508,1058.61
35509,1060.31
35510,1060.66
