prbs,t
5,39.1
5,39.1
0,39.1
5,38.61
0,38.61
0,38.61
0,38.12
5,38.12
5,38.12
5,38.12
5,37.63
5,38.12
0,37.63
5,37.63
0,37.15
5,37.15
0,37.15
0,36.66
5,36.66
0,37.15
0,36.17
5,36.17
5,36.17
0,35.19
0,36.17
5,36.17
5,35.19
5,35.68
5,35.68
0,35.19
0,35.19
5,35.68
0,35.19
5,35.19
0,35.19
0,35.19
5,35.19
0,35.68
0,36.17
0,36.17
5,35.68
0,35.19
5,35.68
5,35.19
5,35.68
0,35.68
5,35.68
0,36.17
5,35.68
0,35.68
0,35.68
0,35.68
0,36.17
0,35.68
0,36.17
5,36.66
0,36.66
5,36.66
5,36.66
5,36.66
0,36.66
0,36.66
0,36.17
5,37.15
5,36.66
0,36.66
0,37.15
5,37.15
0,36.66
0,37.15
0,37.15
5,37.15
5,37.15
0,37.63
5,37.15
0,37.15
5,37.63
5,37.63
5,38.12
0,37.63
0,37.63
5,37.63
0,38.12
5,38.12
5,38.12
5,38.12
5,37.63
5,38.12
5,38.12
0,38.12
0,38.12
5,38.12
5,38.61
0,38.61
5,38.61
5,38.12
0,38.61
5,39.1
5,38.61
5,39.1
0,39.1
5,39.1
5,39.1
5,39.1
5,39.1
5,39.1
0,39.1
5,40.08
5,39.1
0,39.1
0,39.59
5,39.59
0,40.08
0,39.59
5,39.59
0,39.59
5,40.08
5,39.1
0,39.59
0,39.59
0,39.59
0,39.59
5,39.59
5,39.1
0,39.1
0,39.59
5,39.59
0,39.59
5,39.59
0,39.1
5,39.59
0,39.59
0,39.59
5,39.1
5,39.1
5,39.1
5,39.1
0,39.1
5,39.1
0,39.1
0,39.1
0,38.61
5,38.61
0,38.61
0,38.61
5,38.12
0,38.12
5,38.12
5,38.12
5,38.12
0,37.63
0,37.63
5,37.63
5,37.63
5,37.15
5,37.15
0,37.15
5,36.66
5,36.66
0,36.17
0,36.17
0,36.17
0,36.17
0,35.68
0,36.17
0,35.68
5,35.68
0,35.68
0,35.68
0,35.68
5,35.19
5,35.68
5,34.7
0,35.19
0,35.68
0,35.19
0,35.19
5,35.68
5,35.68
5,35.68
5,35.19
5,35.68
5,35.19
0,35.19
0,35.68
0,35.68
5,35.68
0,35.68
0,35.68
5,35.68
0,36.17
0,36.17
5,36.66
5,36.17
5,36.17
0,36.17
5,36.17
0,36.17
5,36.66
5,36.66
5,36.66
0,36.66
5,36.66
5,36.66
0,37.15
0,36.66
5,37.15
5,37.15
0,37.15
5,37.15
5,37.15
5,37.15
5,37.15
5,37.63
0,37.63
0,37.63
5,37.63
0,38.12
5,37.63
5,38.12
0,37.63
5,38.12
5,38.12
0,38.12
0,38.61
0,38.12
0,38.61
5,38.61
0,38.61
0,38.61
0,38.61
0,38.61
0,38.61
5,38.61
5,39.1
5,39.1
0,39.1
5,39.59
0,39.1
5,39.1
0,39.1
5,39.1
0,39.1
0,39.1
5,39.1
0,39.1
5,39.59
5,39.1
5,39.59
5,39.59
0,39.59
5,39.59
0,39.59
5,40.08
5,39.59
5,40.08
5,40.08
5,40.08
